,raceneigh,married,pubF5A1,pubF5B1,pubF5C1,pubF5D1,pubF5E1,pubF5F1,pubF5G1,pubF5H1,pubF5I1,income,govthelp,grade
2006-2,5,0,0,0,0,1,0,0,0,0,0,4,1,13
2008-2,5,3,0,0,1,0,0,0,0,0,0,0,3,12
2013-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2091-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2092-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2093-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2094-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2095-2,1,0,0,0,0,0,99,99,0,0,0,77,0,11
2015-2,5,0,0,1,77,0,0,0,0,0,0,7,0,1 college
2016-2,1,0,,0,,0,,,0,0,0,77,1,9
2017-1,1,0,1,0,0,0,0,0,0,1,0,3,1,15
2024-1,1,0,1,0,4,3,0,2,0,1,1,77,1,12
2026-1,1,0,0,0,2,0,0,0,0,0,0,77,0,10
2032-1,1,0,1,2,0,1,0,0,0,0,0,77,0,11
2033-1,1,0,1,5,0,0,0,0,0,0,0,2,1,12
2035-1,1,0,0,2,2,0,0,0,0,2,0,77,1,10
2041-1,1,0,2,4,0,0,2,0,0,0,0,77,1,11
2042-2,1,3,1,5,1,0,0,0,0,0,0,2,1,12
2046-1,1,0,2,4,5,2,0,0,0,0,0,77,1,10
2047-1,1,0,0,0,2,0,0,0,0,0,0,2,0,13
2051-1,1,0,1,2,0,0,0,0,0,0,0,2,1,12
2052-1,1,0,,5,0,0,0,0,0,,0,88,1,12
2052-2,1,0,0,0,0,0,0,0,0,0,0,77,,11
2054-1,1,0,0,0,1,1,0,0,0,0,0,77,0,10
2057-2,1,0,0,0,0,0,,,0,,0,77,0,11
2062-1,1,0,0,0,0,0,0,0,0,0,0,77,1,15
2090-2,1,0,0,0,0,0,0,0,0,0,0,77,0,3+ college yrs
2093-2,1,0,0,0,0,0,0,0,0,0,0,77,0,3+ college yrs
2063-2,1,0,0,0,0,0,0,0,0,,0,8,0,12
2064-1,1,0,0,0,0,0,0,0,0,0,0,88,1,10
2065-1,1,0,0,0,2,1,0,0,0,0,0,77,1,10
2066-1,1,0,0,0,0,0,99,99,0,0,0,77,0,12
2067-1,1,0,0,0,0,0,0,0,0,0,0,4,0,12
2069-1,1,2,0,3,0,0,0,0,0,0,0,2,0,12
2071-1,1,0,0,0,0,0,0,0,0,1,0,2,0,13
2072-1,1,2,0,4,0,0,2,0,0,0,0,77,1,12
2073-1,1,2,0,5,4,0,0,1,0,1,0,3,1,14
2074-1,1,0,0,0,0,0,,,0,0,0,1,1,7
2075-1,1,0,0,2,0,0,0,0,0,0,0,1,0,11
2077-1,1,0,0,1,0,0,0,0,0,0,0,77,1,12
2078-1,1,0,0,2,5,5,0,0,0,0,0,88,0,15
2079-1,1,0,0,0,0,0,0,0,0,0,0,77,0,12
2080-1,1,0,1,2,2,0,0,0,0,0,0,88,1,11
4002-1,1,3,0,1,0,1,0,0,0,0,0,77,1,14
4003-1,1,2,2,2,2,0,0,0,0,0,0,3,1,12
4004-1,1,2,3,0,5,2,0,2,0,5,0,6,1,15
4006-2,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4054-2,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4007-1,1,2,0,0,0,0,0,0,0,0,0,1,1,12
4007-2,1,0,1,0,0,0,0,0,0,0,0,8,0,12
4008-1,1,0,0,2,0,0,0,0,0,0,0,1,1,12
4008-2,1,1,0,2,2,0,0,0,0,2,0,9,0,14
4009-1,1,0,0,0,0,0,2,0,0,2,0,1,1,12
4009-2,1,0,0,0,0,0,0,77,0,0,0,1,1,14
4010-1,1,0,0,0,0,0,0,0,0,0,0,77,1,11
4011-1,1,0,0,2,5,0,0,0,0,2,0,9,0,16
4012-1,1,0,77,5,4,2,0,0,0,0,0,1,1,11
4013-1,1,0,0,0,0,0,0,0,0,0,0,2,1,12
4014-1,1,0,0,2,0,0,0,0,0,0,0,1,1,13
4014-2,1,0,0,0,0,0,0,0,0,0,0,1,1,9
4016-1,1,2,0,0,0,0,0,0,0,0,0,1,1,12
4016-2,1,0,1,0,0,0,0,0,0,0,0,1,1,12
4017-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4018-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4020-1,1,1,0,0,0,0,0,0,0,0,0,1,1,15
4021-1,1,0,0,0,0,0,0,0,0,0,0,3,1,12
4022-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4022-2,1,2,0,5,2,0,0,0,0,1,0,77,1,13
4024-2,1,0,0,0,0,0,0,0,0,0,0,7,0,12
4025-2,1,0,0,0,0,0,0,0,0,0,0,3,1,11
4026-2,1,0,0,5,5,5,0,0,0,0,0,88,1,12
4027-1,1,1,0,0,5,0,0,0,0,1,0,6,0,14
4028-2,1,0,0,0,0,0,0,0,0,0,0,1,1,11
4029-1,1,2,0,0,0,0,0,0,0,0,0,5,1,12
4030-1,1,1,0,0,0,0,0,0,0,0,0,1,1,14
4030-2,1,0,0,3,0,0,0,0,0,0,0,1,1,8
4032-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4032-2,1,0,0,0,0,0,0,0,0,0,0,6,1,12
4033-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4033-2,1,2,0,3,0,0,0,0,0,0,0,4,1,14
4034-1,1,0,0,0,0,0,0,0,0,0,0,1,1,13
4035-1,1,0,0,0,0,0,0,0,0,0,0,1,1,11
4037-1,1,0,0,0,0,0,0,0,0,0,0,1,1,11
4038-1,1,1,0,3,0,3,77,0,0,77,0,5,1,12
4039-2,1,0,2,0,0,0,0,0,0,0,0,1,1,11
4040-1,1,0,0,0,0,0,0,0,0,0,0,2,1,12
4041-2,1,2,0,0,0,0,0,0,0,0,0,1,1,10
4042-1,1,0,0,0,0,0,0,0,0,0,0,1,0,11
4042-2,1,0,1,0,0,0,0,0,0,0,0,3,0,12
4044-1,1,0,0,0,0,0,0,0,0,0,0,1,1,11
4044-2,1,0,0,1,0,0,0,0,0,0,0,88,1,12
4045-1,1,1,0,2,2,4,0,0,0,1,0,77,1,16
4047-1,1,0,0,0,0,0,0,0,0,0,0,4,1,12
4048-1,1,0,1,0,2,4,0,0,0,4,0,1,1,12
4048-2,1,0,0,3,0,0,0,0,0,0,0,1,1,10
4049-1,1,0,0,3,0,0,0,0,0,0,0,7,0,16
4049-2,1,0,0,0,0,0,0,0,0,0,0,88,1,10
4050-1,1,0,2,0,0,0,0,0,0,0,0,8,1,14
4050-2,1,0,0,0,0,0,0,0,0,0,0,5,1,12
4051-1,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4051-2,1,0,0,0,0,0,0,0,0,0,0,1,1,12
4052-1,1,0,0,1,0,1,0,0,0,1,0,5,0,12
4052-2,1,0,1,0,0,0,0,0,0,0,0,77,1,11
4053-1,1,0,0,1,0,2,0,0,0,0,0,1,1,12
4056-1,1,0,2,0,2,0,0,0,0,0,0,3,0,10
4057-1,1,0,0,3,0,0,0,0,0,0,0,2,1,9
4061-1,1,1,0,2,0,0,0,0,0,0,0,1,1,11
4063-1,1,0,0,0,1,1,0,0,0,2,1,3,1,12
4067-1,1,0,0,0,5,0,0,0,0,0,0,8,1,4 college
4068-1,1,0,0,0,0,0,0,0,0,0,0,1,1,1 college
4075-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4076-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4077-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4078-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4079-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4080-2,1,2,0,0,0,0,0,0,0,0,0,7,0,2 college
4080-1,1,0,2,1,2,0,0,0,0,2,0,8,0,12
4082-1,1,0,0,0,0,0,0,0,0,0,0,88,1,
4083-1,1,2,3,0,4,0,0,0,0,0,0,7,1,4 college
2002-2,1,0,0,0,0,0,0,0,1,0,0,77,1,12
2005-2,1,0,3,2,0,0,1,0,1,3,1,2,0,11
2007-2,1,2,0,0,77,0,0,99,1,0,0,77,1,12
2009-2,1,0,0,0,0,0,0,0,1,77,0,6,0,12
2025-2,1,2,0,0,0,0,0,0,1,0,0,77,1,10
